age,marital,education,default,balance,housing,loan,contact,poutcome,y
24,single,secondary,no,77,yes,yes,unknown,unknown,no
57,married,unknown,no,807,yes,no,unknown,unknown,no
42,married,tertiary,no,239,yes,yes,unknown,unknown,no
42,married,secondary,no,445,yes,no,unknown,unknown,no
46,married,tertiary,no,2303,yes,no,unknown,unknown,no
29,married,secondary,no,8,no,no,unknown,unknown,no
40,divorced,secondary,no,139,yes,no,unknown,unknown,no
36,married,secondary,no,184,yes,no,unknown,unknown,no
37,single,secondary,no,259,yes,no,unknown,unknown,no
40,divorced,tertiary,no,490,yes,no,unknown,unknown,no
47,single,secondary,no,594,yes,no,unknown,unknown,no
53,divorced,unknown,no,236,yes,no,unknown,unknown,no
49,married,secondary,no,326,yes,no,unknown,unknown,no
32,married,secondary,no,0,yes,yes,unknown,unknown,no
44,married,secondary,no,58544,yes,no,unknown,unknown,no
52,married,secondary,no,-98,yes,no,unknown,unknown,no
28,married,secondary,no,225,yes,yes,unknown,unknown,no
33,married,secondary,no,0,yes,no,unknown,unknown,no
46,divorced,secondary,no,207,yes,no,unknown,unknown,no
46,married,primary,no,323,yes,no,unknown,unknown,no
29,single,primary,no,50,yes,no,unknown,unknown,no
51,married,secondary,no,221,yes,no,unknown,unknown,no
44,single,secondary,no,-212,yes,yes,unknown,unknown,no
48,married,secondary,no,1230,yes,yes,unknown,unknown,no
46,married,secondary,no,1045,yes,yes,unknown,unknown,no
44,married,secondary,no,-97,yes,no,unknown,unknown,no
36,married,secondary,no,-147,yes,no,unknown,unknown,no
37,married,primary,no,190,yes,yes,unknown,unknown,no
40,married,tertiary,no,103,yes,no,unknown,unknown,no
31,single,tertiary,no,7444,yes,yes,unknown,unknown,no
27,single,secondary,no,81,yes,no,unknown,unknown,no
33,divorced,secondary,no,1128,yes,no,unknown,unknown,no
27,single,secondary,no,181,yes,no,unknown,unknown,no
29,married,secondary,no,5903,yes,no,unknown,unknown,no
40,single,secondary,no,1,yes,no,unknown,unknown,no
38,married,secondary,no,4586,yes,no,unknown,unknown,no
46,married,secondary,no,397,no,no,unknown,unknown,no
41,divorced,tertiary,no,47,yes,no,unknown,unknown,no
28,married,primary,no,-58,yes,no,unknown,unknown,no
40,married,tertiary,no,121,no,no,unknown,unknown,no
37,married,secondary,no,105,yes,no,unknown,unknown,no
42,married,primary,no,555,yes,no,unknown,unknown,no
28,married,unknown,no,486,yes,no,unknown,unknown,no
36,single,secondary,no,-45,yes,no,unknown,unknown,no
31,married,secondary,no,28,yes,no,unknown,unknown,no
35,married,secondary,no,-339,yes,no,unknown,unknown,no
25,single,secondary,no,0,yes,no,unknown,unknown,no
29,single,secondary,no,2,no,no,unknown,unknown,no
29,divorced,tertiary,no,607,yes,yes,unknown,unknown,no
43,married,secondary,no,1824,yes,no,unknown,unknown,no
34,married,secondary,no,103,yes,yes,unknown,unknown,no
31,married,secondary,no,186,yes,no,unknown,unknown,no
38,single,tertiary,no,0,yes,no,unknown,unknown,no
31,married,primary,no,50,yes,no,unknown,unknown,no
27,single,secondary,no,584,yes,no,unknown,unknown,no
36,married,secondary,no,195,yes,no,unknown,unknown,no
39,married,primary,no,332,yes,no,unknown,unknown,no
50,married,primary,no,749,no,no,unknown,unknown,no
37,married,secondary,no,14,yes,no,unknown,unknown,no
53,married,secondary,no,359,no,yes,unknown,unknown,no
50,single,secondary,no,72,no,no,unknown,unknown,no
44,divorced,tertiary,no,3932,yes,no,unknown,unknown,no
36,married,secondary,no,406,yes,no,unknown,unknown,no
39,married,primary,no,-432,yes,no,unknown,unknown,no
30,married,unknown,yes,-315,yes,no,unknown,unknown,no
38,married,primary,no,0,yes,no,unknown,unknown,no
31,single,tertiary,no,133,yes,no,unknown,unknown,no
44,married,tertiary,no,223,yes,no,unknown,unknown,no
36,married,secondary,no,211,yes,no,unknown,unknown,no
50,married,primary,no,2590,yes,no,unknown,unknown,no
32,single,secondary,no,-227,yes,yes,unknown,unknown,no
56,married,primary,no,202,yes,no,unknown,unknown,no
32,single,secondary,no,160,yes,no,unknown,unknown,no
55,married,secondary,no,186,yes,yes,unknown,unknown,no
43,married,tertiary,no,291,yes,no,unknown,unknown,no
29,single,tertiary,no,5406,no,no,unknown,unknown,no
33,married,secondary,no,269,yes,no,unknown,unknown,no
27,married,tertiary,no,350,no,no,unknown,unknown,no
43,married,primary,no,336,yes,no,unknown,unknown,no
37,married,secondary,no,277,yes,no,unknown,unknown,no
28,single,secondary,no,7,yes,yes,unknown,unknown,no
41,married,secondary,no,442,yes,yes,unknown,unknown,no
32,married,secondary,no,-208,yes,yes,unknown,unknown,no
26,married,tertiary,no,79,yes,yes,unknown,unknown,no
45,single,secondary,no,-139,yes,no,unknown,unknown,no
44,married,secondary,no,469,yes,no,unknown,unknown,no
25,single,secondary,no,61,yes,no,unknown,unknown,no
30,single,tertiary,no,2530,yes,no,unknown,unknown,no
47,divorced,tertiary,no,84,yes,no,unknown,unknown,no
29,single,secondary,no,853,yes,no,unknown,unknown,no
57,married,secondary,no,221,yes,no,unknown,unknown,no
45,single,tertiary,no,5694,yes,no,unknown,unknown,no
32,married,primary,no,-89,yes,no,unknown,unknown,no
49,divorced,secondary,no,315,yes,no,unknown,unknown,no
47,single,secondary,no,15,no,no,unknown,unknown,no
33,married,secondary,no,-257,yes,no,unknown,unknown,no
26,divorced,tertiary,yes,-402,no,yes,unknown,unknown,no
47,married,primary,no,304,yes,no,unknown,unknown,no
25,single,tertiary,no,40,no,no,unknown,unknown,no
27,single,secondary,no,3675,no,no,unknown,unknown,no
31,married,secondary,no,297,yes,no,unknown,unknown,no
30,single,secondary,no,290,yes,no,unknown,unknown,no
28,single,secondary,no,2845,yes,no,unknown,unknown,no
38,married,secondary,no,332,yes,no,unknown,unknown,no
38,single,unknown,no,573,yes,no,unknown,unknown,no
35,married,primary,no,-12,yes,no,unknown,unknown,no
55,married,primary,no,431,yes,no,unknown,unknown,no
31,married,tertiary,no,334,yes,no,unknown,unknown,no
33,single,tertiary,no,168,yes,no,unknown,unknown,no
32,single,tertiary,yes,-3,yes,no,unknown,unknown,no
20,single,secondary,no,-103,yes,no,unknown,unknown,no
41,married,secondary,no,705,yes,no,unknown,unknown,no
34,married,tertiary,no,1557,yes,yes,unknown,unknown,no
23,single,primary,no,2594,yes,no,unknown,unknown,no
25,single,secondary,no,382,yes,no,unknown,unknown,no
45,married,secondary,no,4646,yes,no,unknown,unknown,no
42,married,secondary,no,476,yes,no,unknown,unknown,no
26,married,secondary,no,380,yes,no,unknown,unknown,no
41,divorced,secondary,no,225,yes,yes,unknown,unknown,no
29,single,primary,no,95,yes,no,unknown,unknown,no
49,married,tertiary,no,400,yes,no,unknown,unknown,no
44,married,secondary,no,1362,yes,no,unknown,unknown,no
57,married,secondary,no,1026,yes,no,unknown,unknown,no
42,married,tertiary,no,5,yes,no,unknown,unknown,no
45,married,secondary,no,105,yes,yes,unknown,unknown,no
47,married,primary,no,300,yes,no,unknown,unknown,no
29,divorced,unknown,no,17,yes,no,unknown,unknown,no
50,married,secondary,no,3478,yes,no,unknown,unknown,no
45,married,secondary,no,985,yes,no,unknown,unknown,no
60,divorced,unknown,no,791,yes,no,unknown,unknown,no
31,single,secondary,no,-745,yes,no,unknown,unknown,no
26,single,secondary,no,8206,yes,no,unknown,unknown,no
44,married,primary,no,300,yes,no,unknown,unknown,no
46,single,secondary,no,148,yes,no,unknown,unknown,no
32,married,secondary,no,363,yes,no,unknown,unknown,no
43,married,primary,no,2047,yes,no,unknown,unknown,no
31,married,tertiary,no,0,yes,yes,unknown,unknown,no
54,married,secondary,no,2626,no,no,unknown,unknown,no
28,married,primary,no,15,yes,no,unknown,unknown,no
33,divorced,secondary,no,-238,yes,no,unknown,unknown,no
33,married,tertiary,no,221,yes,no,unknown,unknown,no
51,married,secondary,no,330,yes,no,unknown,unknown,no
28,single,secondary,no,468,yes,no,unknown,unknown,no
38,divorced,tertiary,no,547,yes,no,unknown,unknown,no
52,married,secondary,no,0,no,no,unknown,unknown,no
31,married,primary,no,591,yes,no,unknown,unknown,no
55,married,secondary,no,332,yes,no,unknown,unknown,no
43,married,secondary,no,212,yes,no,unknown,unknown,no
40,married,secondary,no,503,yes,no,unknown,unknown,no
48,married,primary,no,584,yes,no,unknown,unknown,no
41,married,secondary,no,338,yes,no,unknown,unknown,no
30,married,secondary,no,938,yes,no,unknown,unknown,no
46,married,secondary,no,1733,yes,no,unknown,unknown,no
42,married,tertiary,no,1340,yes,no,unknown,unknown,no
49,married,primary,no,1878,yes,no,unknown,unknown,no
52,married,tertiary,no,618,yes,yes,unknown,unknown,no
44,single,secondary,no,-27,yes,yes,unknown,unknown,no
47,divorced,secondary,no,4906,yes,no,unknown,unknown,no
35,single,tertiary,no,592,no,yes,unknown,unknown,no
41,married,tertiary,no,744,yes,no,unknown,unknown,no
45,married,primary,no,532,yes,no,unknown,unknown,no
27,single,secondary,no,1150,yes,no,unknown,unknown,no
40,divorced,secondary,no,262,yes,no,unknown,unknown,no
52,married,tertiary,no,601,yes,no,unknown,unknown,no
47,married,secondary,no,651,yes,no,unknown,unknown,no
43,single,secondary,no,0,yes,no,unknown,unknown,no
20,single,tertiary,no,79,yes,no,unknown,unknown,no
42,married,primary,no,860,yes,no,unknown,unknown,no
42,married,secondary,no,2918,yes,no,unknown,unknown,no
45,married,secondary,no,4509,yes,no,unknown,unknown,no
42,married,secondary,no,9359,yes,no,unknown,unknown,no
60,divorced,secondary,no,2479,yes,yes,unknown,unknown,no
41,married,secondary,no,957,yes,no,unknown,unknown,no
57,divorced,tertiary,no,2516,yes,no,unknown,unknown,no
47,married,secondary,no,2354,yes,no,unknown,unknown,no
54,married,tertiary,no,4582,yes,no,unknown,unknown,no
29,single,secondary,no,874,yes,no,unknown,unknown,no
40,single,tertiary,no,157,yes,no,unknown,unknown,no
41,married,secondary,no,680,yes,no,unknown,unknown,no
54,married,unknown,no,3965,yes,no,unknown,unknown,no
30,married,secondary,no,1534,yes,yes,unknown,unknown,no
46,married,primary,no,252,yes,no,unknown,unknown,no
58,married,unknown,no,49,yes,no,unknown,unknown,no
38,married,secondary,no,0,yes,no,unknown,unknown,no
41,divorced,secondary,no,536,yes,no,unknown,unknown,no
27,single,primary,no,431,yes,no,unknown,unknown,no
33,single,secondary,no,402,yes,yes,unknown,unknown,no
52,married,unknown,no,826,yes,no,unknown,unknown,no
44,married,primary,no,0,yes,no,unknown,unknown,no
43,single,secondary,no,421,yes,no,unknown,unknown,no
45,married,primary,no,810,yes,no,unknown,unknown,no
35,single,primary,no,181,yes,no,unknown,unknown,no
49,married,tertiary,no,3840,yes,no,unknown,unknown,no
31,single,secondary,no,1819,yes,no,unknown,unknown,no
32,married,secondary,no,55,yes,no,unknown,unknown,no
55,married,secondary,no,1102,yes,no,unknown,unknown,no
44,married,primary,no,412,yes,no,unknown,unknown,no
44,married,primary,no,140,yes,no,unknown,unknown,no
55,married,tertiary,no,874,yes,no,unknown,unknown,no
40,married,secondary,no,574,yes,no,unknown,unknown,no
58,married,tertiary,no,2360,no,no,unknown,unknown,no
39,single,primary,no,-21,no,no,unknown,unknown,no
39,married,tertiary,no,-176,yes,no,unknown,unknown,no
45,divorced,primary,no,104,yes,no,unknown,unknown,no
28,married,tertiary,no,82,yes,yes,unknown,unknown,no
47,married,secondary,no,51,yes,yes,unknown,unknown,no
53,married,secondary,no,76,yes,yes,unknown,unknown,no
25,married,secondary,no,16,yes,no,unknown,unknown,no
47,married,primary,no,1756,yes,no,unknown,unknown,no
31,single,secondary,no,199,yes,no,unknown,unknown,no
29,married,tertiary,no,1,yes,yes,unknown,unknown,no
49,married,secondary,no,1269,yes,no,unknown,unknown,no
35,married,secondary,no,-613,yes,no,unknown,unknown,no
40,divorced,secondary,no,783,yes,yes,unknown,unknown,no
30,single,unknown,no,194,yes,no,unknown,unknown,no
47,married,secondary,no,-656,yes,no,unknown,unknown,no
28,married,tertiary,no,364,yes,no,unknown,unknown,no
27,married,secondary,no,554,yes,no,unknown,unknown,no
36,married,secondary,no,63,yes,no,unknown,unknown,no
52,single,secondary,no,36,yes,no,unknown,unknown,no
44,divorced,unknown,no,532,no,no,unknown,unknown,no
49,married,secondary,no,16,yes,no,unknown,unknown,no
33,married,secondary,no,64,no,no,unknown,unknown,no
46,divorced,tertiary,no,770,yes,no,unknown,unknown,no
27,single,secondary,no,194,yes,no,unknown,unknown,no
43,married,secondary,no,17,yes,no,unknown,unknown,no
50,married,primary,no,231,yes,no,unknown,unknown,no
49,married,primary,no,267,yes,no,unknown,unknown,no
37,single,secondary,no,197,yes,no,unknown,unknown,no
28,single,secondary,no,317,yes,no,unknown,unknown,no
38,married,secondary,no,660,yes,yes,unknown,unknown,no
37,single,secondary,no,654,no,no,unknown,unknown,no
40,single,tertiary,no,2784,yes,no,unknown,unknown,no
40,single,unknown,no,-154,yes,yes,unknown,unknown,no
32,married,secondary,no,132,yes,yes,unknown,unknown,no
57,married,tertiary,no,5431,yes,no,unknown,unknown,no
38,married,secondary,no,59,yes,no,unknown,unknown,no
48,married,primary,no,281,yes,no,unknown,unknown,no
30,married,primary,no,392,yes,no,unknown,unknown,no
60,married,unknown,no,738,no,no,unknown,unknown,no
31,single,secondary,no,6042,yes,no,unknown,unknown,no
40,married,secondary,no,-341,yes,no,unknown,unknown,no
31,single,tertiary,no,221,yes,no,unknown,unknown,no
28,single,tertiary,no,-31,yes,no,unknown,unknown,no
30,single,secondary,no,16,yes,no,unknown,unknown,no
54,divorced,primary,no,477,yes,no,unknown,unknown,no
48,married,primary,no,456,yes,yes,unknown,unknown,no
40,married,tertiary,no,3,yes,yes,unknown,unknown,no
22,married,secondary,no,36,yes,no,unknown,unknown,no
28,single,tertiary,no,3238,yes,no,unknown,unknown,no
31,single,secondary,no,1629,yes,no,unknown,unknown,no
28,single,secondary,no,362,yes,no,unknown,unknown,no
31,single,secondary,no,19,yes,no,unknown,unknown,no
52,married,secondary,no,2420,yes,no,unknown,unknown,no
51,single,tertiary,no,1146,yes,yes,unknown,unknown,no
34,married,secondary,no,1710,yes,yes,unknown,unknown,no
40,married,primary,no,-22,yes,no,unknown,unknown,no
45,married,secondary,no,1345,yes,no,unknown,unknown,no
36,married,tertiary,no,806,yes,no,unknown,unknown,no
39,married,secondary,no,298,yes,no,unknown,unknown,no
32,divorced,primary,no,137,yes,no,unknown,unknown,no
38,married,tertiary,no,0,yes,no,unknown,unknown,no
31,divorced,secondary,no,1222,yes,no,unknown,unknown,no
36,married,secondary,no,465,yes,no,unknown,unknown,no
31,single,secondary,no,2089,yes,no,unknown,unknown,no
33,married,secondary,no,2,yes,no,unknown,unknown,no
34,single,tertiary,no,371,no,no,unknown,unknown,no
36,married,secondary,no,2030,yes,no,unknown,unknown,no
35,married,primary,no,356,yes,yes,unknown,unknown,no
60,married,tertiary,no,328,yes,no,unknown,unknown,no
38,married,secondary,yes,-242,yes,yes,unknown,unknown,no
35,married,secondary,no,2688,yes,no,unknown,unknown,no
46,married,secondary,no,583,yes,no,unknown,unknown,no
34,married,secondary,yes,421,yes,no,unknown,unknown,no
58,married,primary,no,99,yes,no,unknown,unknown,no
32,married,secondary,no,908,yes,no,unknown,unknown,no
30,single,tertiary,no,1724,yes,no,unknown,unknown,no
32,married,tertiary,no,514,yes,no,unknown,unknown,no
54,divorced,tertiary,no,6102,yes,yes,unknown,unknown,no
33,married,tertiary,no,1349,yes,no,unknown,unknown,no
35,married,secondary,no,592,yes,no,unknown,unknown,no
34,divorced,tertiary,no,5754,yes,no,unknown,unknown,no
36,single,tertiary,no,3954,yes,no,unknown,unknown,no
37,married,secondary,no,1450,yes,yes,unknown,unknown,no
34,single,secondary,no,951,yes,no,unknown,unknown,no
49,divorced,primary,no,2262,yes,no,unknown,unknown,no
32,married,secondary,no,901,yes,no,unknown,unknown,no
29,single,secondary,no,0,no,no,unknown,unknown,no
32,single,secondary,no,1721,yes,no,unknown,unknown,no
21,single,secondary,no,232,yes,no,unknown,unknown,no
35,married,secondary,no,1,yes,yes,unknown,unknown,no
28,married,tertiary,no,395,no,no,unknown,unknown,no
24,single,secondary,no,171,yes,no,unknown,unknown,no
46,single,secondary,no,0,no,no,unknown,unknown,no
31,married,tertiary,no,4924,yes,no,unknown,unknown,no
37,married,tertiary,no,2205,no,no,unknown,unknown,no
31,married,secondary,no,664,yes,yes,unknown,unknown,no
34,married,tertiary,no,4170,yes,no,unknown,unknown,no
39,married,secondary,no,4441,yes,no,unknown,unknown,no
49,married,secondary,no,1568,no,no,unknown,unknown,no
39,single,secondary,no,2645,yes,no,unknown,unknown,no
37,married,tertiary,no,412,yes,no,unknown,unknown,no
26,single,secondary,no,0,yes,no,unknown,unknown,no
52,married,secondary,no,173,no,no,unknown,unknown,no
33,married,secondary,no,3132,yes,no,unknown,unknown,no
34,single,tertiary,no,0,yes,no,unknown,unknown,no
32,married,secondary,no,587,yes,no,unknown,unknown,no
31,single,secondary,no,1186,yes,no,unknown,unknown,no
35,single,secondary,no,11423,yes,no,unknown,unknown,no
33,married,secondary,no,6227,yes,no,unknown,unknown,no
33,married,tertiary,no,416,yes,yes,unknown,unknown,no
32,single,secondary,no,1883,yes,no,unknown,unknown,no
35,married,secondary,no,291,no,no,unknown,unknown,no
47,married,secondary,no,-401,yes,no,unknown,unknown,no
26,single,tertiary,no,1570,yes,no,unknown,unknown,no
24,married,secondary,no,45,yes,yes,unknown,unknown,no
24,single,secondary,no,820,yes,no,unknown,unknown,no
30,married,secondary,no,2,no,yes,unknown,unknown,no
48,married,secondary,no,3142,no,no,unknown,unknown,no
31,single,secondary,no,-78,yes,yes,unknown,unknown,no
32,married,secondary,no,0,no,no,unknown,unknown,no
30,married,tertiary,no,523,yes,no,unknown,unknown,no
30,single,tertiary,no,3625,yes,no,unknown,unknown,no
32,married,tertiary,no,1651,yes,no,unknown,unknown,no
32,married,secondary,no,221,yes,no,unknown,unknown,no
30,single,tertiary,no,253,yes,no,unknown,unknown,no
60,married,secondary,no,-46,no,no,unknown,unknown,no
36,married,primary,no,655,yes,no,unknown,unknown,no
29,single,tertiary,no,0,yes,no,unknown,unknown,no
32,married,secondary,no,497,yes,no,unknown,unknown,no
34,married,secondary,no,70,yes,yes,unknown,unknown,no
31,single,tertiary,no,357,yes,no,unknown,unknown,no
33,married,tertiary,no,0,yes,no,unknown,unknown,no
32,married,secondary,no,1780,yes,no,unknown,unknown,no
31,married,secondary,no,1098,yes,no,unknown,unknown,no
29,single,secondary,no,1008,yes,no,unknown,unknown,no
35,married,secondary,no,0,yes,no,unknown,unknown,no
39,married,tertiary,no,540,yes,yes,unknown,unknown,no
34,married,tertiary,no,387,yes,no,unknown,unknown,no
56,divorced,primary,no,-216,yes,no,unknown,unknown,no
32,married,secondary,no,86,yes,no,unknown,unknown,no
31,divorced,tertiary,no,895,yes,no,unknown,unknown,no
48,single,tertiary,no,145,yes,no,unknown,unknown,no
34,married,secondary,no,-694,yes,no,unknown,unknown,no
35,married,secondary,no,788,yes,no,unknown,unknown,no
32,single,primary,no,405,yes,no,unknown,unknown,no
28,single,tertiary,no,1107,yes,no,unknown,unknown,no
31,married,secondary,no,-110,yes,no,unknown,unknown,no
28,married,secondary,no,880,yes,no,unknown,unknown,no
33,single,secondary,no,1746,yes,no,unknown,unknown,no
34,married,unknown,no,-465,no,no,unknown,unknown,no
47,married,tertiary,no,192,yes,no,unknown,unknown,no
51,married,secondary,yes,-1013,yes,no,unknown,unknown,no
29,single,tertiary,no,1185,yes,no,unknown,unknown,no
29,single,tertiary,no,354,yes,no,unknown,unknown,no
29,married,secondary,no,484,yes,no,unknown,unknown,no
35,married,secondary,no,291,yes,no,unknown,unknown,no
34,single,tertiary,no,1640,yes,no,unknown,unknown,no
35,married,secondary,no,23,yes,no,unknown,unknown,no
40,married,secondary,no,-626,yes,no,unknown,unknown,no
38,married,secondary,no,6,yes,no,unknown,unknown,no
43,married,primary,no,-93,yes,no,unknown,unknown,no
37,married,secondary,no,1785,yes,no,unknown,unknown,no
36,married,secondary,no,4587,no,no,unknown,unknown,no
39,married,primary,no,879,yes,no,unknown,unknown,no
44,married,secondary,no,0,no,no,unknown,unknown,no
33,married,tertiary,no,403,yes,no,unknown,unknown,no
44,married,primary,no,3057,yes,no,unknown,unknown,no
46,single,tertiary,no,479,yes,no,unknown,unknown,no
37,married,primary,no,-196,yes,no,unknown,unknown,no
33,single,secondary,no,0,yes,no,unknown,unknown,no
23,married,secondary,no,-213,yes,yes,unknown,unknown,no
54,single,tertiary,no,1464,yes,yes,unknown,unknown,no
32,married,tertiary,no,1037,yes,no,unknown,unknown,no
45,married,secondary,no,-376,yes,no,unknown,unknown,no
32,married,primary,no,4,yes,no,unknown,unknown,no
31,single,secondary,no,-186,yes,no,unknown,unknown,no
36,married,secondary,no,3935,yes,yes,unknown,unknown,no
49,married,secondary,no,134,yes,yes,unknown,unknown,no
38,married,primary,no,27,yes,no,unknown,unknown,no
36,married,secondary,no,0,yes,no,unknown,unknown,no
53,married,secondary,no,87,yes,no,unknown,unknown,no
50,married,secondary,no,74,yes,yes,unknown,unknown,no
28,married,primary,no,32,yes,no,unknown,unknown,no
32,married,secondary,no,-124,no,no,unknown,unknown,no
39,married,secondary,no,-131,yes,yes,unknown,unknown,no
34,married,secondary,no,-61,yes,no,unknown,unknown,no
36,single,unknown,no,-69,yes,no,unknown,unknown,no
58,divorced,tertiary,no,-71,no,no,unknown,unknown,no
41,married,primary,no,-8,yes,no,unknown,unknown,no
57,single,tertiary,no,33,yes,no,unknown,unknown,no
26,divorced,secondary,no,21,yes,no,unknown,unknown,no
47,divorced,secondary,no,-407,yes,no,unknown,unknown,no
31,single,secondary,no,-302,yes,yes,unknown,unknown,no
33,divorced,tertiary,no,723,yes,no,unknown,unknown,no
34,married,secondary,no,0,no,no,unknown,unknown,no
33,married,secondary,no,-118,yes,yes,unknown,unknown,no
26,married,secondary,no,0,no,no,unknown,unknown,no
31,single,tertiary,no,-429,yes,yes,unknown,unknown,no
36,divorced,secondary,no,-611,yes,no,unknown,unknown,no
26,married,primary,yes,-683,yes,yes,unknown,unknown,no
51,married,tertiary,no,1944,yes,no,unknown,unknown,no
28,married,secondary,no,781,yes,no,unknown,unknown,no
32,married,secondary,no,-479,yes,no,unknown,unknown,no
32,married,secondary,no,49,yes,no,unknown,unknown,no
29,married,tertiary,no,3037,yes,no,unknown,unknown,no
36,married,primary,no,1653,yes,yes,unknown,unknown,no
43,married,secondary,no,2344,yes,no,unknown,unknown,no
47,married,tertiary,no,362,yes,no,unknown,unknown,no
28,married,tertiary,no,318,yes,no,unknown,unknown,no
34,married,secondary,yes,-34,yes,no,unknown,unknown,no
34,married,secondary,no,1412,yes,yes,unknown,unknown,no
26,single,secondary,no,75,yes,no,unknown,unknown,no
57,married,primary,no,318,yes,no,unknown,unknown,no
46,divorced,tertiary,no,-154,yes,yes,unknown,unknown,no
39,married,secondary,no,1072,yes,no,unknown,unknown,no
53,divorced,secondary,no,392,yes,no,unknown,unknown,no
45,married,primary,no,-175,yes,yes,unknown,unknown,no
30,single,secondary,no,311,yes,yes,unknown,unknown,no
31,single,secondary,no,0,yes,no,unknown,unknown,no
25,single,tertiary,no,43,yes,yes,unknown,unknown,no
30,single,tertiary,no,849,yes,no,unknown,unknown,no
24,married,secondary,no,0,no,no,unknown,unknown,no
24,single,secondary,no,1611,yes,no,unknown,unknown,no
29,single,secondary,no,1450,yes,no,unknown,unknown,no
40,married,tertiary,no,-130,yes,no,unknown,unknown,no
31,single,primary,no,-443,yes,no,unknown,unknown,no
29,single,primary,no,80,yes,no,unknown,unknown,no
45,married,unknown,no,-320,yes,no,unknown,unknown,no
44,married,secondary,no,-20,no,no,unknown,unknown,no
52,married,secondary,no,310,yes,no,unknown,unknown,no
51,single,secondary,no,511,yes,yes,unknown,unknown,no
32,married,tertiary,no,4307,yes,no,unknown,unknown,no
29,married,secondary,no,-526,yes,no,unknown,unknown,no
33,married,secondary,no,580,yes,no,unknown,unknown,no
31,married,secondary,no,-327,yes,no,unknown,unknown,no
28,single,tertiary,no,183,yes,yes,unknown,unknown,no
28,single,secondary,no,419,yes,no,unknown,unknown,no
41,single,unknown,no,2835,yes,no,unknown,unknown,no
29,single,secondary,no,293,yes,no,unknown,unknown,no
53,married,tertiary,no,490,yes,no,unknown,unknown,no
38,married,secondary,no,279,yes,no,unknown,unknown,no
34,single,secondary,no,1103,yes,no,unknown,unknown,no
40,married,secondary,no,-312,yes,no,unknown,unknown,no
35,single,secondary,no,73,yes,no,unknown,unknown,no
51,divorced,secondary,no,-245,yes,yes,unknown,unknown,no
60,married,primary,no,170,yes,no,unknown,unknown,no
54,married,secondary,no,24,yes,no,unknown,unknown,no
32,single,secondary,no,73,yes,no,unknown,unknown,no
39,married,primary,no,-310,yes,yes,unknown,unknown,no
33,married,secondary,yes,-675,yes,no,unknown,unknown,no
47,married,secondary,no,-938,yes,no,unknown,unknown,no
40,married,secondary,no,2,no,no,unknown,unknown,no
30,single,tertiary,no,419,yes,yes,unknown,unknown,no
