Suburb_name,Projected_population_growth,Projected_median_income,Projected_unemployment_rate,Projected_priority_growth_area
CALIFORNIA GULLY,5.927651,106427.316,3.160487,0
DAYLESFORD,4.835443,163655.546,2.380941,0
CRANBOURNE,4.145326,151344.689,3.344885,0
DROMANA,4.164133,127681.605,8.226170,0
FRANKSTON NORTH,3.869375,172130.527,3.812439,0
KEYSBOROUGH,6.293318,69167.239,7.333002,0
MORNINGTON,3.456559,155731.878,11.229389,1
SYNDAL,6.707294,157852.015,4.363349,0
WOODEND,6.256752,133178.910,9.558720,0
BENTLEIGH EAST,3.122675,155659.651,5.194869,1
CROYDON NORTH,4.429100,122949.112,7.962414,0
DINGLEY VILLAGE,4.050198,192642.588,3.345093,0
FLORA HILL,5.252795,145528.997,-1.262369,0
MAFFRA,3.904382,156855.409,1.596775,1
MONTMORENCY,4.347393,124948.314,4.623656,1
MORWELL,4.175317,74626.323,7.676599,0
NOBLE PARK NORTH,3.283326,203053.326,11.341281,1
SOMERVILLE,5.361899,91249.419,2.616382,0
BALWYN,7.789991,159175.652,7.424808,0
CHELTENHAM NORTH,4.690862,111947.093,6.691393,0
HAMPTON PARK,2.172981,171214.076,-1.255577,1
HASTINGS,5.973704,122515.139,3.672510,0
MOOROOLBARK,4.843835,90385.395,4.187990,0
ROMSEY,4.071083,122342.258,4.620220,0
BAYSWATER NORTH,3.935247,141744.504,4.002701,0
BELL PARK,5.286382,176591.747,8.537116,0
HEIDELBERG WEST,5.302834,154619.960,1.309462,1
NEWCOMB,5.872248,97402.666,5.559147,0
ROSEBUD SOUTH,3.537711,142398.283,5.112181,1
SEAFORD,8.857393,180891.068,6.621284,0
SOUTH KINGSVILLE,3.858277,172351.265,3.449596,0
ST ALBANS PARK,3.926464,109134.762,3.583502,0
VIEWBANK,4.278660,71783.071,9.750077,0
ASPENDALE,4.108709,137401.280,6.726877,0
CARRUM DOWNS,3.282615,178001.422,1.197754,0
KENNINGTON,3.833350,195877.802,5.200677,1
LARA,5.972097,169296.073,3.757921,0
MACLEOD,8.546972,96371.191,8.883309,0
NORTH BENDIGO,5.017132,128078.792,12.595333,0
RINGWOOD NORTH,4.080380,202882.584,2.134852,0
WHITTINGTON,5.638882,194166.788,7.061238,0
WHITTLESEA,4.253737,157910.263,4.881509,0
WODONGA,2.788955,202737.438,3.408523,1
WONTHAGGI,6.406925,153271.505,-0.941990,0
BELL POST HILL,4.557497,86778.202,7.221980,0
DOVETON,3.708629,102668.935,3.070652,0
EAGLEHAWK,2.804513,165488.669,2.859594,1
ENDEAVOUR HILLS,6.889267,119754.578,6.851115,0
LONG GULLY,4.521703,153947.749,9.338096,0
MONTROSE,5.039742,83866.660,11.899206,0
FRANKSTON SOUTH,3.346551,138397.914,1.622278,0
GROVEDALE,3.919615,97118.918,7.261464,0
LAKES ENTRANCE,5.474109,82678.156,15.490958,0
OAKLEIGH SOUTH,3.556039,120469.579,0.896903,0
RINGWOOD EAST,4.725220,165346.973,4.555125,0
SEBASTOPOL,4.480460,163616.965,8.785099,0
TEMPLESTOWE LOWER,3.476528,201518.529,4.309069,1
BALLARAT CENTRAL,5.216649,139546.946,-0.299151,0
BENALLA,3.706157,111608.921,1.599963,0
BITTERN,4.570240,148634.525,6.326213,0
DALLAS,5.061367,194592.383,7.152556,0
FOREST HILL,3.715854,184620.625,4.457486,0
HIGHTON,3.945761,97506.724,3.559737,0
KEILOR DOWNS,4.153382,119232.379,7.420056,0
SOLDIERS HILL,5.119163,135880.082,8.905824,0
BOX HILL NORTH,3.383650,188020.798,1.581075,0
CRIB POINT,4.976373,109270.267,0.115490,1
CROYDON,4.864487,97413.255,1.928934,0
MOE,3.788122,155157.541,5.160256,0
MOUNT EVELYN,7.010507,123410.453,14.535510,0
MOUNT WAVERLEY,4.028209,105152.518,3.925953,0
SANCTUARY LAKES,5.185053,148272.539,9.853429,0
TRAFALGAR,6.727738,83712.086,12.585197,0
BAYSWATER,4.752618,132889.865,4.528361,0
BLACKBURN SOUTH,5.648312,133191.781,2.426736,0
BRIGHTON EAST,5.433048,84875.874,4.284941,1
CRANBOURNE NORTH,3.874383,117012.679,-1.840367,1
ELTHAM,4.852311,79500.304,4.260035,0
LOWER PLENTY,4.171233,103312.635,8.840432,0
NUNAWADING,5.327072,75474.624,2.400997,0
PAYNESVILLE,3.886336,134981.717,6.662496,0
TAYLORS HILL,5.078502,107397.172,5.312165,0
WHEELERS HILL,4.190396,124257.211,1.962547,0
BERWICK,3.892673,88548.672,13.208407,1
BORONIA,4.674700,178502.379,6.771257,0
CANTERBURY,4.898355,139625.679,11.457905,0
CAULFIELD SOUTH,3.747992,127309.826,3.996920,0
DANDENONG NORTH,5.114163,87923.068,1.676940,0
DIAMOND CREEK,5.925751,102446.562,5.651472,0
FERNTREE GULLY,6.189777,73588.027,6.785562,1
HEIDELBERG HEIGHTS,3.586043,73693.136,-0.635702,0
HERNE HILL,5.688558,89575.746,10.779431,0
HORSHAM,4.043067,147160.745,5.331359,0
MONT ALBERT NORTH,5.131373,182515.086,6.096571,0
PAKENHAM,3.544805,175552.675,-0.198190,1
PATTERSON LAKES,4.631944,95587.453,11.661817,0
QUEENSCLIFF,4.146218,97836.785,4.379812,0
RESERVOIR,3.842241,109730.860,1.252384,0
RIDDELLS CREEK,3.289659,147721.899,9.841692,1
STAWELL,5.269585,175434.147,6.166214,0
WANTIRNA,5.012836,137770.796,7.502940,0
WEST WODONGA,3.244070,98243.280,-1.510438,0
CARRUM,3.986624,194954.803,4.839664,0
CASTLEMAINE,3.873193,88659.811,7.948981,1
CHELSEA,3.625356,149649.453,2.532392,1
EDITHVALE,4.802470,202680.777,5.933753,0
ESSENDON WEST,3.926429,157949.956,5.979173,0
NARRE WARREN,3.288241,156002.004,10.593399,1
NEWBOROUGH,3.024693,96964.385,8.265198,1
NEWTOWN (GREATER GEELONG),3.866128,204119.131,5.241120,0
NOBLE PARK,5.629091,142805.016,4.763419,0
SANDRINGHAM,7.558645,74867.421,5.543142,1
VERMONT,4.350897,184449.487,0.699419,0
VERMONT SOUTH,7.113259,84202.984,3.401451,0
WALLAN,4.422240,94122.248,3.627491,0
ASHWOOD,3.485590,110923.923,2.908991,1
BONBEACH,5.322000,115734.710,10.001774,0
BRIAR HILL,5.892090,159639.617,10.278296,0
BRIGHTON,7.329666,90445.029,4.388767,0
GOLDEN SQUARE,4.835607,93368.047,5.979880,0
NARRE WARREN SOUTH,4.004271,178190.086,4.176534,0
OSBORNE,3.860589,80705.499,3.805122,0
ROWVILLE,5.941866,85971.894,5.760758,0
SOUTH GEELONG,5.552896,94343.696,13.435060,0
SPRINGVALE,3.859809,168963.193,1.648503,1
UPPER FERNTREE GULLY,3.624147,131396.728,3.365008,0
WESTALL,3.976501,186188.078,2.555225,0
ABERFELDIE,5.319774,127075.696,11.898660,0
ALTONA,5.039485,136276.959,-0.922828,1
BULLEEN,4.729733,120537.414,4.683100,0
DONVALE,4.778307,158401.568,11.133798,0
HEALESVILLE,4.354121,85994.065,4.798244,0
LALOR,4.275875,129658.276,3.996278,0
LARA LAKE,4.525590,195311.240,8.570309,0
POINT COOK,3.753247,191501.363,3.695607,0
REDAN,4.570509,82011.640,10.995435,0
TATURA,3.764821,162109.952,-3.133416,0
ASHBURTON,8.202904,112851.934,1.610046,0
BEACONSFIELD,6.578037,117643.249,8.730119,0
HAMILTON,4.840491,141891.411,4.318816,0
LORNE,3.718424,179489.024,4.039127,0
ROXBURGH PARK,3.742711,147346.526,7.664530,1
SCORESBY,4.600336,202382.399,5.466633,0
SWAN HILL,6.629721,124787.294,7.475890,1
TEMPLESTOWE,3.726778,171306.832,0.399644,0
WARRAGUL,3.828945,78335.561,9.223169,1
ARDEER,5.157527,188756.845,6.866925,0
BACCHUS MARSH,8.252479,193039.124,5.673204,0
BEAUMARIS,6.623418,78593.652,2.980916,0
EAST MELBOURNE,3.313052,164795.462,1.913629,1
HADFIELD,5.577862,109725.270,3.674929,0
LEONGATHA,4.875887,183096.952,8.435733,0
MCCRAE,3.886795,107421.326,1.887491,1
ROSANNA,5.693169,203932.653,10.707002,0
TAYLORS LAKES,7.118121,117997.283,7.413346,0
THOMASTOWN,6.007186,84228.870,4.280418,0
WILLIAMSTOWN NORTH,3.449861,129467.631,2.166530,0
KILMORE,4.644967,187568.191,9.419083,0
MANSFIELD,5.683364,178926.626,5.119601,0
MARYBOROUGH,4.062143,144937.598,2.042270,0
WARRNAMBOOL,4.251165,155246.760,9.682564,0
WERRIBEE,3.695091,176950.301,4.008783,0
YARRAWONGA,5.483142,130577.774,7.790747,0
AVONDALE HEIGHTS,4.262516,195127.086,11.285174,0
KYABRAM,4.053141,139815.158,2.268743,0
LILYDALE,5.841138,130239.311,2.080958,0
MERINDA PARK,4.357673,144308.706,5.604643,0
METUNG,6.235149,76692.665,5.737673,0
MOUNT CLEAR,6.250636,95148.714,3.815825,0
MULGRAVE,5.310789,113395.991,5.033975,1
QUARRY HILL,6.010643,209992.126,7.646495,0
STUDFIELD,4.248697,187548.719,4.242840,0
SUNSHINE WEST,5.533921,201631.191,8.173980,0
THORNBURY,5.244547,135368.263,5.539908,0
WATSONIA,5.263146,161698.262,1.394033,1
DEER PARK,3.790661,101327.428,5.737709,0
EPPING,3.773058,116531.705,2.763290,0
HOPPERS CROSSING,5.275136,161484.654,6.826136,0
KNOXFIELD,4.218717,110139.975,5.297497,0
ST ALBANS,2.992081,109252.322,7.086734,1
TRUGANINA,4.616923,168784.238,6.605020,0
WEST FOOTSCRAY,4.580025,97955.314,5.415223,0
WESTMEADOWS,3.978634,126842.016,5.411014,0
BALLARAT EAST,4.623246,110956.682,4.720392,0
BRAYBROOK,4.200708,165879.588,8.717002,0
BROOKLYN,4.273876,93257.133,5.057987,1
GREENSBOROUGH,3.657931,139670.104,6.000916,1
LYNBROOK,5.652738,170847.040,7.414108,0
MEADOW HEIGHTS,2.783119,117333.332,2.331788,1
MITCHAM,5.014289,177656.953,8.874632,0
SHEPPARTON,5.486040,207762.765,5.294933,0
WENDOUREE,4.317117,150020.389,5.275141,0
ALTONA MEADOWS,6.524929,197788.471,8.714037,1
BALWYN NORTH,4.269678,142305.282,6.947096,0
BROWN HILL,5.712248,103636.827,7.848845,0
CAMPBELLFIELD,4.113352,206104.705,1.624859,0
CLAYTON,4.654795,80002.199,5.533115,0
HALLAM,7.919125,178470.500,5.338465,0
JOLIMONT,4.424381,181361.635,2.496892,0
MANIFOLD HEIGHTS,4.218917,152432.782,4.306643,0
MCKINNON,4.034625,141547.963,3.980184,0
MELTON,5.161189,83852.937,8.097671,0
NIDDRIE,4.471395,122966.935,9.309638,0
RYE,4.432393,105461.354,5.098640,0
WILLIAMSTOWN,6.235594,146326.355,2.648925,0
COBURG EAST,3.891330,174684.728,6.715348,0
LAVERTON SOUTH,4.644654,113040.112,5.467115,0
STRATHDALE,4.895128,184218.178,1.754153,0
WALLAN EAST,3.407379,190918.162,5.905727,1
BAIRNSDALE,3.748959,92794.634,4.286618,0
BURWOOD EAST,4.589579,142252.492,7.985976,0
CANADIAN,4.529713,119308.489,2.266586,0
CHELTENHAM,2.637438,202070.855,1.166238,1
COLAC,5.175315,101058.963,3.916194,0
GLEN WAVERLEY,4.217813,105609.285,-0.134321,1
GOLDEN POINT (BALLARAT),3.383524,150775.822,1.932887,0
JACANA,4.094120,80112.864,4.201795,0
KORUMBURRA,5.316333,132324.050,2.661331,0
PORTLAND,6.305541,166092.196,9.712588,0
ALPHINGTON,4.527686,145843.804,4.767149,0
BOX HILL SOUTH,4.623797,166207.405,5.125155,0
BROADFORD,6.142578,102039.084,8.030114,0
BROADMEADOWS,6.161432,116807.286,7.922236,0
GARFIELD,4.957053,91795.751,8.454901,0
HARKNESS,4.781037,77056.288,7.231581,0
MERNDA,5.385758,125684.740,8.907289,0
OAK PARK,6.813472,90118.281,6.880873,0
CLAYTON SOUTH,5.202021,172857.344,1.644372,0
GLENROY,4.391183,148494.396,9.260730,0
HAMPTON,6.975310,203172.976,6.490590,0
MELTON SOUTH,4.738835,197011.682,9.257497,0
MIDDLE PARK,3.384139,153458.677,4.962817,1
MOOROOPNA,4.352584,101399.188,4.392520,0
RINGWOOD,5.679544,166134.575,6.824531,1
WYNDHAM VALE,3.484115,119862.737,3.730001,1
ALTONA NORTH,4.138524,100856.178,5.045466,0
CHADSTONE,3.883481,185416.867,4.539881,0
ECHUCA,4.001769,160632.129,8.683011,1
EPSOM,5.644325,111899.936,9.467592,0
LAVERTON,3.630039,195559.836,3.795272,0
MILL PARK,4.254270,191480.400,7.523498,0
TULLAMARINE,4.465818,108630.465,6.136822,0
BLACKBURN,3.757111,82893.356,2.718435,0
CAMBERWELL,5.789934,132888.491,2.894600,0
CHELTENHAM EAST,4.192249,188487.723,5.214717,1
COBURG NORTH,3.919607,174837.225,6.149233,0
HILLSIDE (MELTON),4.624513,99662.677,3.213506,0
PRESTON,5.353199,164091.455,14.490650,1
RIPPONLEA,6.752131,189343.813,17.080244,0
SUNBURY,4.562602,88455.478,6.356261,1
HUGHESDALE,3.143609,126070.233,5.759635,1
KURUNJANG,4.193751,111447.606,-0.608320,0
MALVERN EAST,3.566473,115237.780,9.620866,1
MORDIALLOC,5.394369,139536.598,2.235830,0
PARKDALE,4.450557,177849.166,7.039678,0
SYDENHAM,5.369073,170054.497,4.028398,0
AIRPORT WEST,3.812669,163358.227,3.360993,0
CLIFTON HILL,5.139179,84505.882,8.451036,0
NEWPORT,5.067532,165809.931,16.045302,0
OAKLEIGH EAST,4.159565,165265.837,2.464582,0
BURWOOD,6.723156,198632.431,7.776829,0
FAWKNER,2.721383,94880.785,0.157044,1
HAMPTON EAST,3.788320,106511.536,1.969879,0
PASCOE VALE,3.220102,85872.738,5.135249,1
CARLTON NORTH,4.537703,89882.113,9.713260,0
CAULFIELD,5.766778,130851.824,3.983396,0
FAIRFIELD,3.333184,103729.294,9.104046,1
FITZROY,4.462020,150078.463,6.492510,0
GLEN IRIS,6.160870,190457.605,11.321328,0
KEW NORTH,5.203154,81188.134,1.486851,0
MOUNT MARTHA,4.588090,149839.600,13.215169,0
STRATHMORE,3.157107,103968.695,6.658545,1
TRARALGON,4.256297,131985.514,7.477534,1
ALTONA EAST,4.828177,203855.723,4.908535,0
COBURG,4.520567,171845.196,3.361195,0
DONCASTER EAST,4.126699,177064.248,1.979363,0
GEELONG,7.594609,109341.066,6.531055,0
MONT ALBERT,3.216930,159175.472,8.538307,1
NORTH GEELONG,5.358362,82227.489,3.947163,0
TARNEIT,4.098440,122695.706,3.298553,0
HUNTINGDALE,4.674582,177815.408,6.497528,0
TOORAK,5.657719,115213.680,5.244056,0
BALLAN,4.366155,209556.348,-0.320002,0
CARNEGIE,3.614783,189796.550,2.835818,0
CRAIGIEBURN,4.746534,150712.755,3.207404,0
FOSTER,3.399084,155916.438,-1.064263,0
KEW,4.473060,195815.387,8.309702,1
CRANBOURNE EAST,4.259411,155206.175,8.249960,0
GARDENVALE,4.813073,153617.761,6.062421,0
MENTONE,5.064001,162535.456,4.453995,0
OAKLEIGH,4.755689,121026.546,7.923811,0
SAN REMO,4.208606,108297.640,1.854936,0
SOUTH MORANG,4.721694,161295.906,10.307388,0
BENTLEIGH,6.346204,173458.019,6.483136,0
EAST GEELONG,3.527238,113041.583,2.971691,1
SPOTSWOOD,4.675421,159409.606,6.113376,0
SURREY HILLS,4.347767,157932.335,4.334978,0
WILLIAMS LANDING,5.568860,163258.900,14.026822,0
GREENVALE,6.736919,128352.305,6.926977,0
LOVELY BANKS,5.056484,167881.463,6.449636,0
MOONEE PONDS,5.190775,166727.671,7.732625,0
NUMURKAH,4.206343,78029.710,3.423836,0
SALE,6.858120,181031.914,4.822886,0
ALBERT PARK,5.341140,159031.986,9.268789,1
DANDENONG,5.454381,187330.038,12.835455,0
FITZROY NORTH,5.692437,196521.068,8.918895,0
IVANHOE,4.974570,197588.905,8.487355,0
KEILOR EAST,4.956550,162743.204,1.419565,0
MOORABBIN,6.123848,199981.024,9.815661,0
NORTH MELBOURNE,3.880091,169784.080,6.268416,0
WESTGARTH,2.116164,99289.527,-2.529616,1
ESSENDON,2.671087,173840.176,3.480833,1
GEELONG WEST,5.007010,145892.727,6.988773,0
HEIDELBERG,3.721783,187011.530,2.670193,0
HIGHETT,5.282417,201113.722,9.125914,0
PASCOE VALE SOUTH,3.878086,78406.092,4.750914,0
BRUNSWICK,3.803507,107284.848,4.653845,0
CAULFIELD NORTH,4.804877,156978.972,1.081512,0
ELSTERNWICK,4.400586,110111.847,6.848272,0
NORTHCOTE,4.507904,155095.146,5.367632,0
GLEN HUNTLY,4.008208,83513.313,3.830498,0
HAWTHORN,5.310492,206540.205,12.111459,0
MAIDSTONE,4.961772,125726.416,7.645141,0
CLAYTON NORTH,3.469464,198994.629,0.520729,0
ALBION,6.695505,167654.815,1.739297,0
ARMADALE,5.313442,106924.099,7.864116,0
BRUNSWICK EAST,5.651953,144059.268,5.147931,0
CAROLINE SPRINGS,6.476814,88097.300,8.423430,0
ELWOOD,3.689797,82941.287,0.031419,1
HEATHERTON,4.747987,194888.965,2.715004,0
PRINCES HILL,4.035555,175030.945,8.072465,0
ASCOT VALE,4.925681,122725.700,10.491696,0
BOX HILL,3.421697,132696.238,0.702099,0
KENSINGTON,5.007175,89984.050,12.438303,0
MARIBYRNONG,3.626717,120013.667,2.937204,0
PRAHRAN,4.239518,141681.493,6.364986,0
SOUTH MELBOURNE,4.378067,197021.443,6.779936,0
WANTIRNA SOUTH,3.850363,159355.468,5.367100,0
FOOTSCRAY,3.090054,176111.051,6.386020,1
KERANG,3.975549,96915.810,3.690245,0
ST KILDA EAST,3.676639,190447.021,2.898497,0
BALACLAVA,6.941770,104021.268,9.457069,0
PORT MELBOURNE,4.168604,76828.726,8.117709,0
WEST MELBOURNE,3.049212,118181.870,5.535688,1
ALFREDTON,4.679054,162674.045,5.702899,0
BUNDOORA,3.025035,108487.925,4.361023,1
DONCASTER,3.924295,104262.563,6.980653,1
WINDSOR,5.052124,103640.268,4.093256,0
IRYMPLE,2.768395,112595.263,2.860499,1
PORT FAIRY,3.667529,133581.575,2.311910,0
WHITE HILLS,6.049322,107836.150,2.861503,0
MICKLEHAM,5.328496,199614.454,7.185435,0
BRIGHT,4.850775,190933.470,4.149159,0
COWES,5.837178,125887.885,9.723102,1
OFFICER,4.844632,198499.430,9.608898,0
EAST BENDIGO,2.840733,168915.568,4.899915,1
DOREEN,5.613756,203091.392,5.724551,0
APOLLO BAY,4.185411,75056.108,6.151169,0
ANGLESEA,3.970262,193159.017,2.703209,0
COLLINGWOOD,3.421979,129267.376,9.618836,1
HAWTHORN EAST,5.240924,87780.063,9.231555,0
KINGSBURY,7.278119,89685.641,7.389940,0
COBRAM,3.590252,74227.613,2.041044,0
MURRUMBEENA,4.080554,196165.633,9.441394,0
EAGLEMONT,6.655170,106084.267,12.343138,0
JUNCTION VILLAGE,5.395075,157994.191,12.287576,0
YARRAVILLE,4.951742,119935.887,1.856674,0
BURNLEY,4.101148,81983.251,4.530284,0
FISHERMANS BEND,4.305530,126883.887,4.243946,0
ORMOND,4.348382,81358.908,5.673610,0
SEDDON,4.360121,169696.241,6.385715,0
BRUNSWICK WEST,4.557115,85132.487,12.494778,0
CREMORNE,4.402148,102835.407,3.209217,0
CAIRNLEA,4.673047,142022.746,2.982447,0
DOCKLANDS,6.286973,116518.889,5.315345,0
KEW EAST,5.135645,98002.017,5.479079,0
SOUTHBANK,5.347813,169118.720,2.541310,0
SPRING GULLY,3.498635,99079.923,7.882292,1
ST KILDA,5.664264,77627.883,6.501725,0
MELBOURNE,4.069694,143018.758,3.378705,0
NOTTING HILL,4.499564,163180.369,-0.039933,0
ST KILDA WEST,4.877622,174009.231,7.505089,0
SUNSHINE,4.693791,184737.785,1.743277,0
WERRIBEE SOUTH,4.267008,81525.728,1.192583,0
PARKVILLE,7.116130,124375.500,8.727623,0
SOUTH YARRA,3.251369,138462.664,8.289846,1
RICHMOND,6.156994,195130.245,3.394409,0
FLEMINGTON,4.544164,129572.725,1.440175,0
CAULFIELD EAST,4.040543,75447.778,2.514955,0
IVANHOE EAST,7.871548,94270.647,15.099705,0
KINGSVILLE,4.136626,104291.276,5.597123,1
MALVERN,6.551836,197325.360,2.922472,0
TRAVANCORE,4.888002,197513.721,7.247150,0
CARLTON,4.885631,199375.138,-0.103615,0
ESSENDON NORTH,6.896634,169719.229,4.875681,0
KOOYONG,5.552872,179492.453,4.995628,0
YARRAM,4.022895,185826.745,2.558843,1
ABBOTSFORD,4.771391,181924.216,5.260816,0
ARARAT,4.881934,128334.436,-0.180778,0
